month,source,demand,x_hm3,delivered_hm3,cost_USD,benefit_USD
Feb,Santa,Pecuario,1.45152,1.45152,36026.73,36026.73
Nov,Huamanzaña,Chao,0.0,0.0,0.0,0.0
Oct,Santa,Viru,7.0466,2.11398,174896.6,3813.2
Feb,Santa,Chao,0.0,0.0,0.0,0.0
Abr,Santa,S4,8.970067,7.98336,222637.07,198146.99
Ene,Santa,S3,8.51671,7.579872,211384.74,188132.42
Jun,Huamanzaña,Chao,0.0,0.0,0.0,0.0
Ene,Santa,Viru,6.09321,1.827963,151233.46,3297.28
Ago,Santa,PTAP_Trujillo,2.973024,2.973024,73790.46,85964.99
Oct,Santa,Industria,1.3392,1.3392,33238.94,33238.94
Abr,Santa,Industria,1.296,1.296,32166.72,32166.72
Ago,Dren_Chao,Chao,1.794528,0.538358,3221.72,966.51
Nov,Dren_Chao,Chao,2.69568,0.808704,4839.55,1451.87
Oct,Pozos_Viru,Viru,0.616032,0.18481,37892.13,333.36
Abr,Pozos_Viru,Viru,0.0,0.0,0.0,0.0
Jun,Dren_Chao,Chao,1.27008,0.381024,2280.17,684.05
Ago,Santa,S2,1.745474,1.553472,43322.67,38557.18
Ene,Santa,Industria,1.3392,1.3392,33238.94,33238.94
Ago,Santa,PTAP_Chao,0.080352,0.080352,1994.34,2323.38
Nov,Santa,PTAP_Chao,0.10368,0.10368,2573.34,2997.91
Jul,Santa,PTAP_Trujillo,2.6784,2.6784,66477.89,77445.94
Jul,Dren_Chao,Chao,1.312416,0.393725,2356.18,706.85
Ene,Pozos_Viru,Viru,0.0,0.0,0.0,0.0
Abr,Santa,Pecuario,1.5552,1.5552,38600.06,38600.06
Feb,Pozos_Chao,Chao,0.0,0.0,0.0,0.0
Abr,Santa,Chao,0.0,0.0,0.0,0.0
Ago,Dren_Viru,Viru,1.580256,0.474077,2850.47,855.14
Jul,Santa,S2,1.71538,1.526688,42575.73,37892.4
Ene,Santa,Pecuario,1.60704,1.60704,39886.73,39886.73
